"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link","address"
"522","Helias High School","Soccer Boys","33","Varsity","8/20","","","Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=522&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=522&alg=33&tournament=583345","1120 Mrytle Ave Jefferson City, MO 65109"
"569","Missouri Military Academy","Soccer Boys","33","Varsity","8/20","","","Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=569&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=569&alg=33&tournament=583463","Jefferson City, MO"
"132","Moberly High School","Soccer Boys","33","Varsity","8/20","","","Helias / Southern Boone / MMA / Moberly Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=132&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=132&alg=33&tournament=583462","Jefferson City, MO"
"2","Southern Boone High School","Soccer Boys","33","Varsity","8/20","","","Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=2&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=2&alg=33&tournament=583346","Jefferson City, MO"
"953","Battle High School","Football","19","Varsity","8/21","","","Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=953&alg=19&tournament=556218","Hillsboro, MO"
"217","Blair Oaks High School","Football","19","Varsity","8/21","6:00 pm","","Blair Oaks Football Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=217&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=217&alg=19&tournament=585863","Jefferson City, MO"
"217","Blair Oaks High School","Softball Fall Season","38","Varsity","8/21","","","Softball Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=217&alg=38","https://www.mshsaa.org/MySchool/Tournament.aspx?s=217&alg=38&tournament=545733","Jefferson City, MO"
"16","Boonville High School","Football","19","Varsity","8/21","","","Moberly Football Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=16&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=16&alg=19&tournament=596997","Moberly, MO"
"582","California High School","Football","19","Varsity","8/21","7:00 pm","","California Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=582&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=582&alg=19&tournament=542698","California, MO"
"1540","Capital City High School","Football","19","Varsity","8/21","6:00 pm","","Festus-Hickman - Capital City - Jackson","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=1540&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=1540&alg=19&tournament=543699","Festus, MO"
"1540","Capital City High School","Soccer Boys","33","Varsity","8/21","","","Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=1540&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=1540&alg=33&tournament=552825","Sedalia, MO"
"1540","Capital City High School","Softball Fall Season","38","Varsity","8/21","","","Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=1540&alg=38","https://www.mshsaa.org/MySchool/Tournament.aspx?s=1540&alg=38&tournament=543814","Jefferson City, MO"
"53","Centralia High School","Football","19","Varsity","8/21","","","Moberly Football Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=53&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=53&alg=19&tournament=529437","Moberly, MO"
"278","Eldon High School","Football","19","Varsity","8/21","6:00 pm","","Warsaw Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=278&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=278&alg=19&tournament=584668","Warsaw, MO"
"917","Father Tolton","Football","19","Varsity","8/21","","","California Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=917&alg=19&tournament=570457","California, MO"
"917","Father Tolton","Soccer Boys","33","Varsity","8/21","5:00 pm","","Hannibal Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=917&alg=33&tournament=582954",""
"294","Fayette High School","Football","19","Varsity","8/21","","","Fayette Pre-Season Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=294&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=294&alg=19&tournament=548393","Fayette, MO"
"80","Fulton High School","Football","19","Varsity","8/21","","","Owensville Preseason Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=80&alg=19","https://www.mshsaa.org/MySchool/Tournament.aspx?s=80&alg=19&tournament=552194","Owensville, MO"
"80","Fulton High School","Soccer Boys","33","Varsity","8/21","","","Hannibal Jamboree","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=80&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=80&alg=33&tournament=549737","Fulton, MO"
